SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;nome_rete;annoInizio;annoFine;tipo
6;Albano di Lucania;179900;OD:179900;40,5894000000;16,0378000000;794;NESSUNA INFORMAZIONE RETE;1961;2020;site2
20;Tursi;276900;OD:276900;40,2517000000;16,4711000000;257;NESSUNA INFORMAZIONE RETE;1961;2020;site2
25;Roccanova;332500;OD:332500;40,2128000000;16,2067000000;610;NESSUNA INFORMAZIONE RETE;1961;2020;site2
42;Matera;55000;OD:55000;40,6694000000;16,6017000000;389;NESSUNA INFORMAZIONE RETE;1961;2020;site2
44;Irsina;55200;OD:55200;40,7417000000;16,2461000000;453;NESSUNA INFORMAZIONE RETE;1961;2020;site2
48;Potenza;83800;OD:83800;40,6328000000;15,8108000000;669;NESSUNA INFORMAZIONE RETE;1991;2020;site1
2;Torre Accio;177000;OD:177000;40,3925000000;16,6539000000;21;NESSUNA INFORMAZIONE RETE;1997;2020;sito3
39;Tramutola;54700;OD:54700;40,2986000000;15,7867000000;875;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
194;San_Mauro_Forte;417800;OD:417800;40,4840139215;16,2483157797;565;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
195;San_Nicola_d__Avigliano;83900;OD:83900;40,7330560000;15,8025010000;859;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
