SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota;nome_rete;annoInizio;annoFine;tipo
6510;10;Levico (Terme);11,304882;46,010585;502;0;10;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
6541;96;Pezze' di Moena (Diga);11,664561;46,383662;1205;0;96;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
6561;135;Trento (Roncafort);11,101279;46,095667;194;0;135;32;4;NA;NESSUNA INFORMAZIONE RETE;1976;2020;site2
6638;360;Passo Tonale T0360;10,635572;46,261915;1880;0;360;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site1
6639;366;Pejo Frana;10,678177;46,364472;1580;0;366;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site1
6640;367;Cavalese (meteotrentino);11,451794;46,284762;958;0;367;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site1
6644;373;Malga Bissina;10,514022;46,053933;1750;0;373;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2019;site1
6509;9;Centa;11,234123;45,970184;815;0;9;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6511;14;Pontarso;11,494414;46,115589;925;0;14;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6512;15;Bieno;11,553742;46,079537;806;0;15;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6516;24;Passo Cereda;11,906843;46,194016;1375;0;24;32;4;NA;NESSUNA INFORMAZIONE RETE;1975;2020;sito3
6520;30;Canal San Bovo;11,734690;46,149827;757;0;30;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6521;32;Lavarone;11,254037;45,939893;1155;0;32;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6528;71;Mezzana;10,795807;46,313429;905;0;71;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2019;sito3
6529;74;Male';10,916104;46,355098;735;0;74;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6533;82;Passo Mendola;11,189417;46,419238;1320;0;82;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6539;92;Pian Fedaia (Diga);11,862414;46,461795;2040;0;92;32;4;NA;NESSUNA INFORMAZIONE RETE;1975;2020;sito3
6543;99;Paganella;11,037444;46,143291;2125;0;99;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6544;101;Zambana;11,079707;46,156372;201;0;101;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6546;103;Passo Rolle;11,787638;46,297214;1995;0;103;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6547;104;Passo Valles;11,799764;46,338417;2032;0;104;32;4;NA;NESSUNA INFORMAZIONE RETE;1985;2019;sito3
6564;139;Sant'Orsola;11,302200;46,107105;930;0;139;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6569;146;Aldeno;11,091715;45,967849;182;0;146;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6570;147;Rovereto;11,043954;45,896097;203;0;147;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6571;148;Terragnolo (Piazza);11,150991;45,879596;800;0;148;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6576;153;Ronchi di Ala;11,065345;45,739264;692;0;153;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6590;175;Pinzolo;10,757755;46,156746;755;0;175;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2019;sito3
6591;177;Torrente Arno';10,640512;46,032072;1148;0;177;32;4;NA;NESSUNA INFORMAZIONE RETE;1975;2020;sito3
6594;182;Montagne;10,751656;46,059134;955;0;182;32;4;NA;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
6598;189;Santa Massenza (Centrale);10,980894;46,065821;245;0;189;32;4;NA;NESSUNA INFORMAZIONE RETE;1975;2020;sito3
6601;193;Torbole;10,882485;45,881852;70;0;193;32;4;NA;NESSUNA INFORMAZIONE RETE;1965;2020;sito3
6602;200;Tenno;10,831122;45,919256;428;0;200;32;4;NA;NESSUNA INFORMAZIONE RETE;1975;2020;sito3
6607;210;Folgaria;11,171420;45,914087;1140;0;210;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6609;212;Spormaggiore;11,047544;46,212402;655;0;212;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6615;236;Romeno;11,118834;46,390724;958;0;236;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6637;355;Passo Brocon;11,659658;46,116488;1560;0;355;32;4;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
6642;369;Passo Sommo - Folgaria;11,206388;45,918907;1360;0;369;32;4;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
