SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments;nome_rete;annoInizio;annoFine;tipo
2168;ATERNO A FAGNANO;5750;OD:5750;42,24805556;13,56722222;620;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1998;2020;site2
2177;aterno sagittario a allogg.idr;5900;OD:5900;42,15638889;13,82972222;248;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1975;2020;site2
2;TERAMO;100;OD:100;42,65472222;13,71722222;264;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
606;CHIETI;1060;OD:1060;42,37694444;14,18305556;244;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1112;CATIGNANO;1110;OD:1110;42,34611111;13,94527778;323;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1983;2020;sito3
1707;PESCOCOSTANZO;1180;OD:1180;41,88805556;14,05888889;1371;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1940;LANCIANO;1330;OD:1330;42,22583333;14,38444444;273;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1966;CASOLI DIGA;1610;OD:1610;42,09555556;14,25805556;302;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1991;2020;sito3
1975;MONTAZZOLI;1680;OD:1680;41,94222222;14,42805556;792;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1982;VASTO;1740;OD:1740;42,09972222;14,69833333;187;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1999;CAMPOTOSTO;190;OD:190;42,53611111;13,40638889;1392;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2073;PONTE VOMANO;310;OD:310;42,60888889;13,76861111;136;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1998;2020;sito3
2094;ARSITA;410;OD:410;42,50000000;13,79805556;510;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1998;2020;sito3
2135;MONTEREALE;470;OD:470;42,52611111;13,24138889;825;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2137;GIULIANOVA;50;OD:50;42,74805556;13,95277778;55;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1987;2020;sito3
2142;TORNIMPARTE;520;OD:520;42,28861111;13,30166667;880;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1984;2020;sito3
2159;L'AQUILA;550;OD:550;42,33416667;13,42861111;618;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2176;ASSERGI;590;OD:590;42,41972222;13,51805556;1038;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2213;GORIANO SICOLI;670;OD:670;42,08222222;13,79888889;904;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2256;SANTO STEFANO;80;OD:80;42,64750000;13,60277778;734;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2258;SULMONA;810;OD:810;42,06861111;13,91444444;365;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2263;VILLA S.LUCIA;870;OD:870;42,33361111;13,77944444;1119;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
2274;BARISCIANO;920;OD:920;42,32361111;13,57388889;932;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2280;CARAMANICO METEO;980;OD:980;42,15083333;14,01916667;785;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1986;2020;sito3
